,timestamp,frame,dotbot_x_mm,dotbot_y_mm,dotbot_z_mm,lh_x_mm,lh_y_mm,lh_z_mm,lh_roll_deg,lh_pitch_deg,lh_yaw_deg
0,2024-05-31T12:03:32.390000Z,644,477.49059,805.8382,979.41056,427.44429,-648.88035,969.21685,-124.60758,-83.59776,-36.76799
1,2024-05-31T12:03:32.400000Z,645,470.9354,804.57941,978.06124,427.45221,-648.86135,969.23314,-124.71318,-83.59571,-36.88007
2,2024-05-31T12:03:32.410000Z,646,464.31047,803.3641,976.42926,427.40916,-648.79238,969.29115,-124.03342,-83.64919,-36.35709
3,2024-05-31T12:03:32.420000Z,647,458.03203,802.56989,974.96832,427.40602,-648.90738,969.24685,-124.33765,-83.64795,-36.48951
4,2024-05-31T12:03:32.430000Z,648,451.71987,801.40043,973.40323,427.4793,-648.83522,969.23922,-124.87379,-83.5803,-37.05797
5,2024-05-31T12:03:32.440000Z,649,445.53527,800.36258,972.24672,427.41518,-648.84118,969.24496,-124.47903,-83.67526,-36.67419
6,2024-05-31T12:03:32.450000Z,650,439.05519,799.1624,971.32408,427.47073,-648.84284,969.22918,-124.92389,-83.59628,-37.09814
7,2024-05-31T12:03:32.460000Z,651,433.02362,797.76428,970.38398,427.3914,-648.83538,969.21832,-124.48347,-83.71363,-36.66113
8,2024-05-31T12:03:32.470000Z,652,427.22327,796.12343,969.62254,427.38815,-648.89357,969.20414,-124.20651,-83.67865,-36.35124
9,2024-05-31T12:03:32.480000Z,653,421.67486,794.85573,968.91151,427.40433,-648.79741,969.19184,-124.43113,-83.6844,-36.64914
10,2024-05-31T12:03:32.490000Z,654,416.26154,793.51048,968.20292,427.40486,-648.79041,969.17449,-124.42838,-83.68684,-36.60769
11,2024-05-31T12:03:32.500000Z,655,411.04835,791.93783,967.84947,427.34659,-648.81373,969.20641,-124.03232,-83.7778,-36.23673
12,2024-05-31T12:03:32.510000Z,656,405.97379,790.31788,967.35273,427.40308,-648.84885,969.21364,-124.4796,-83.66391,-36.65726
13,2024-05-31T12:03:32.520000Z,657,401.20261,788.64332,967.27629,427.39623,-648.82935,969.2308,-124.51646,-83.67878,-36.70979
14,2024-05-31T12:03:32.530000Z,658,396.61438,786.95849,966.95977,427.40985,-648.80333,969.21922,-124.43097,-83.68276,-36.68317
15,2024-05-31T12:03:32.540000Z,659,392.30717,784.73078,967.05757,427.38732,-648.82083,969.23643,-124.25674,-83.70215,-36.46439
16,2024-05-31T12:03:32.550000Z,660,388.35671,783.24993,966.77242,427.40241,-648.84191,969.2293,-123.99211,-83.66216,-36.19889
17,2024-05-31T12:03:32.560000Z,661,384.74713,782.00431,966.46654,427.39759,-648.86658,969.23549,-124.56846,-83.70486,-36.74091
18,2024-05-31T12:03:32.570000Z,662,381.37473,780.3101,966.63028,427.38196,-648.83489,969.23735,-124.1517,-83.69827,-36.37828
19,2024-05-31T12:03:32.580000Z,663,378.2619,778.82997,966.42201,427.40185,-648.83922,969.21156,-124.46021,-83.65513,-36.6614
20,2024-05-31T12:03:32.590000Z,664,375.40127,777.51501,966.34996,427.45364,-648.81627,969.2223,-124.73763,-83.60103,-36.93646
21,2024-05-31T12:03:32.600000Z,665,372.81749,776.25531,966.44492,427.36357,-648.83156,969.22307,-124.0359,-83.73911,-36.24427
22,2024-05-31T12:03:32.610000Z,666,370.41561,775.12207,966.66391,427.40375,-648.79938,969.21913,-124.61942,-83.69036,-36.8704
23,2024-05-31T12:03:32.620000Z,667,368.21205,773.97519,966.86977,427.39195,-648.79142,969.22554,-124.44576,-83.70504,-36.70868
24,2024-05-31T12:03:32.630000Z,668,366.09778,772.97006,967.08466,427.44837,-648.83991,969.2191,-124.70641,-83.63154,-36.94822
25,2024-05-31T12:03:32.640000Z,669,364.08713,772.13144,967.0527,427.45754,-648.8766,969.235,-124.60136,-83.58559,-36.76059
26,2024-05-31T12:03:32.650000Z,670,362.40912,772.58704,967.08238,427.40491,-648.86207,969.24047,-124.45885,-83.65632,-36.62436
27,2024-05-31T12:03:32.660000Z,671,360.84512,772.25198,967.2814,427.36887,-648.86366,969.23047,-123.95425,-83.70072,-36.08865
28,2024-05-31T12:03:32.670000Z,672,359.50336,772.18742,967.72224,427.34591,-648.84241,969.23742,-124.1275,-83.78114,-36.34245
29,2024-05-31T12:03:32.680000Z,673,358.18318,772.31982,968.20273,427.4241,-648.78586,969.24536,-124.56654,-83.66511,-36.82034
30,2024-05-31T12:03:32.690000Z,674,357.14012,772.49728,968.95435,427.37863,-648.90919,969.22771,-124.50225,-83.68526,-36.65854
31,2024-05-31T12:03:32.700000Z,675,356.19743,773.0871,969.99864,427.38454,-648.83225,969.21757,-124.23262,-83.6943,-36.4199
32,2024-05-31T12:03:32.710000Z,676,355.48052,773.88397,971.02367,427.4219,-648.88011,969.2129,-124.32796,-83.63651,-36.50322
33,2024-05-31T12:03:32.720000Z,677,355.01603,774.90717,972.31634,427.37743,-648.82768,969.21241,-123.98245,-83.71447,-36.1714
34,2024-05-31T12:03:32.730000Z,678,354.85613,776.21264,973.6467,427.42389,-648.82048,969.20983,-124.45961,-83.65236,-36.66607
35,2024-05-31T12:03:32.740000Z,679,354.91294,777.51269,975.09746,427.42794,-648.86075,969.22529,-124.37325,-83.61436,-36.53756
36,2024-05-31T12:03:32.750000Z,680,355.2066,779.10605,976.77073,427.40934,-648.80227,969.23209,-124.37723,-83.70974,-36.60305
37,2024-05-31T12:03:32.760000Z,681,355.73137,780.45224,978.75392,427.37765,-648.88173,969.2354,-124.16063,-83.69975,-36.35002
38,2024-05-31T12:03:32.770000Z,682,356.48572,782.0421,980.71952,427.44348,-648.82714,969.22331,-124.47844,-83.61255,-36.67556
39,2024-05-31T12:03:32.780000Z,683,357.46594,783.66937,982.74133,427.39885,-648.84361,969.23612,-124.20644,-83.67615,-36.39735
40,2024-05-31T12:03:32.790000Z,684,358.55458,785.0415,985.03206,427.4089,-648.87151,969.19706,-124.19938,-83.67952,-36.35329
